iter	Passed	Remaining
399	35894	3140
400	35981	3050
401	36064	2960
402	36161	2871
403	36257	2782
404	36360	2693
405	36457	2604
406	36551	2514
407	36638	2424
408	36722	2334
409	36807	2244
410	36887	2154
411	36977	2064
412	37059	1974
413	37144	1884
414	37230	1794
415	37320	1704
416	37407	1614
417	37494	1524
418	37605	1436
419	37703	1346
420	37799	1256
421	37882	1166
422	37966	1077
423	38066	987
424	38150	897
425	38228	807
426	38310	717
427	38407	628
428	38500	538
429	38591	448
430	38677	358
431	38757	269
432	38833	179
433	38916	89
434	39004	0
