iter	Logloss
0	0.5052853251
1	0.4222876074
2	0.3822734631
3	0.3355807422
4	0.3125109136
5	0.2838809962
6	0.2670326207
7	0.2570357014
8	0.2498828817
9	0.2365208832
10	0.2277049145
11	0.2241316559
12	0.21765478
13	0.2120066941
14	0.2079014976
15	0.2053771708
16	0.2034547468
17	0.200573863
18	0.1974213843
19	0.1957183528
20	0.1931211888
21	0.1905110263
22	0.1886505698
23	0.1869743575
24	0.1846033803
25	0.1823411602
26	0.1813419789
27	0.1785038375
28	0.1766771174
29	0.1739258852
30	0.1719450551
31	0.1694899319
32	0.1685742974
33	0.1675047421
34	0.1644065768
35	0.1635636543
36	0.1627534111
37	0.1615318577
38	0.1598947444
39	0.1586901137
40	0.1578465709
41	0.1564137397
42	0.1550620818
43	0.1541704632
44	0.1531212647
45	0.1517290723
46	0.1508126631
47	0.1490301166
48	0.1472161468
49	0.1464265981
50	0.1455795856
51	0.144492974
52	0.1437343087
53	0.1428420076
54	0.141614588
55	0.1409291625
56	0.1401393978
57	0.1393779567
58	0.1388538463
59	0.1377758453
60	0.1371894146
61	0.1363765113
62	0.1354719036
63	0.1351162017
64	0.1344237298
65	0.1338613233
66	0.1332899655
67	0.1326224596
68	0.1319970571
69	0.1317069823
70	0.1312632286
71	0.1304637727
72	0.1294151655
73	0.1289175878
74	0.1282535814
75	0.1277195896
76	0.1268180134
77	0.1263643216
78	0.1258949597
79	0.1253211479
80	0.1249710078
81	0.1241625291
82	0.1234631045
83	0.1229474486
84	0.1223341552
85	0.1218919017
86	0.1213740548
87	0.1208889671
88	0.1205170197
89	0.1202187524
90	0.1198433815
91	0.1191289246
92	0.1180438954
93	0.1175042954
94	0.1170807218
95	0.1167421482
96	0.1162959422
97	0.1159462437
98	0.1156432584
99	0.1146257186
100	0.1142018378
101	0.1139641599
102	0.1135366465
103	0.1132676282
104	0.1129832791
105	0.1127027405
106	0.1123771382
107	0.1120771859
108	0.1108488101
109	0.1104450287
110	0.1099511765
111	0.1097547766
112	0.1093380752
113	0.108841488
114	0.1086498539
115	0.1083886281
116	0.1080263629
117	0.1077847568
118	0.1075178809
119	0.1071840942
120	0.1068742641
121	0.106618747
122	0.1064044507
123	0.1055283328
124	0.1052061192
125	0.1050506988
126	0.104771457
127	0.1039095713
128	0.103460183
129	0.1033030383
130	0.1031159557
131	0.1029137172
132	0.1026272666
133	0.1023720488
134	0.1021383597
135	0.1017860919
136	0.101360627
137	0.1010534772
138	0.1008225991
139	0.1004649361
140	0.1001488876
141	0.09990663049
142	0.09963522531
143	0.09943756264
144	0.09921747708
145	0.09871786092
146	0.09838907364
147	0.09828343815
148	0.09776994213
149	0.09760188949
150	0.09727273417
151	0.09705266243
152	0.09689646061
153	0.09662828666
154	0.09634756377
155	0.09620311194
156	0.09557748779
157	0.0953955198
158	0.09523471474
159	0.09465255221
160	0.09452857339
161	0.09423748807
162	0.09404954806
163	0.0937184603
164	0.0935170365
165	0.09329407956
166	0.09311892967
167	0.09283930576
168	0.09253624875
169	0.09236580598
170	0.0922130422
171	0.09208969398
172	0.09196679741
173	0.09173913854
174	0.09160264051
175	0.09135803283
176	0.09115977683
177	0.09107240807
178	0.09086481748
179	0.09080121161
180	0.09057747865
181	0.09048027657
182	0.09038686486
183	0.09022008212
184	0.08996023396
185	0.08975914583
186	0.0895537868
187	0.08945601413
188	0.08933374234
189	0.08919225371
190	0.08897609932
191	0.08885423017
192	0.08873242558
193	0.08858882672
194	0.08834023491
195	0.08812260811
196	0.08803392046
197	0.08782127427
198	0.08768589519
199	0.08752709231
200	0.08743842643
201	0.08731528757
202	0.08717903213
203	0.08701848668
204	0.08685309558
205	0.0866442561
206	0.08653377331
207	0.08637955535
208	0.08612279169
209	0.08598200544
210	0.08583642526
211	0.08562990242
212	0.0855122691
213	0.08542210196
214	0.08535461199
215	0.08521889974
216	0.08515804782
217	0.08502339918
218	0.08486268274
219	0.08472120143
220	0.08455857934
221	0.08448529817
222	0.08427743121
223	0.08415684133
224	0.08407155054
225	0.08399098834
226	0.08388629906
227	0.0838188038
228	0.08367971069
229	0.08353215926
230	0.08349435262
231	0.08338239396
232	0.08314208138
233	0.08291936764
234	0.08278394072
235	0.08258574008
236	0.08239800674
237	0.0822992486
238	0.0821472173
239	0.08198052205
240	0.08182990964
241	0.08176313171
242	0.08170244955
243	0.08159637087
244	0.08151884725
245	0.08141094081
246	0.08129611985
247	0.0812178704
248	0.08115634655
249	0.08100596962
250	0.08088060969
251	0.08081149128
252	0.08072618154
253	0.08066268245
254	0.08046344385
255	0.08037819849
256	0.08030774909
257	0.08017673237
258	0.08010214198
259	0.08001497833
260	0.07995039163
261	0.07978001069
262	0.07968249006
263	0.07957444812
264	0.07932191267
265	0.07912884921
266	0.07896772466
267	0.07889336294
268	0.07881535426
269	0.0787830596
270	0.07872605543
271	0.07854112436
272	0.07849138933
273	0.07825572424
274	0.07814143295
275	0.07802027107
276	0.07784427934
277	0.07773516099
278	0.07760685185
279	0.07752342507
280	0.07731962651
281	0.07726720631
282	0.07714035167
283	0.07695972017
284	0.07684078235
285	0.07670200268
286	0.076602574
287	0.07641882901
288	0.07631480301
289	0.07615161476
290	0.07606103142
291	0.07599203395
292	0.07594722405
293	0.0758631719
294	0.07576251669
295	0.07569292899
296	0.07564021543
297	0.07548042657
298	0.07525109979
299	0.075201792
300	0.07515434285
301	0.07506469994
302	0.07497874899
303	0.07486377372
304	0.07474729647
305	0.07464032083
306	0.07454740369
307	0.07450420117
308	0.07438300792
309	0.07423759872
310	0.0741597982
311	0.07408299875
312	0.07390975572
313	0.0737978658
314	0.07369024089
315	0.07362452557
316	0.07342818727
317	0.07335789055
318	0.07329137281
319	0.07321209297
320	0.0730956932
321	0.07287801762
322	0.07282836039
323	0.07274224208
324	0.07267233414
325	0.07258261842
326	0.0723951163
327	0.07234772795
328	0.07228586834
329	0.07226510254
330	0.07217628042
331	0.07204951175
332	0.07189182879
333	0.07183490081
334	0.07172574402
335	0.07170163518
336	0.07164904562
337	0.07160178642
338	0.07150145591
339	0.07131956122
340	0.07125469262
341	0.07113079315
342	0.07106144079
343	0.07090828099
344	0.07083560249
345	0.07075905587
346	0.07065262361
347	0.07055817913
348	0.07049023983
349	0.07042360648
350	0.07038257318
351	0.07035069604
352	0.07029731908
353	0.07022524765
354	0.07012164416
355	0.07001617691
356	0.06994948565
357	0.06991863235
358	0.06987674077
359	0.06983622709
360	0.06975733761
361	0.06967612639
362	0.0696342686
363	0.06958628367
364	0.06952075799
365	0.06936280586
366	0.06933988237
367	0.06928197473
368	0.06922510583
369	0.06919869722
370	0.06913906848
371	0.06910211092
372	0.06905120121
373	0.06898234019
374	0.06887078149
375	0.06880190153
376	0.06876614134
377	0.06871923435
378	0.06867540707
379	0.06861600759
380	0.06857354574
381	0.06854485058
382	0.06850534275
383	0.06839257208
384	0.06833150254
385	0.06825277494
386	0.06821007103
387	0.0681469579
388	0.06807912202
389	0.06805491457
390	0.06801386908
391	0.06792827818
392	0.0678965221
393	0.06779432218
394	0.06775676495
395	0.06771318744
